utterance_token_list;Paragraph;predicted_labels;confidences;Speaker;Gender;Party;Interjector;Interjector Party;Interjector Gender;Filename;true_label;utterance
['Da', 'klatschen', 'nicht', 'die', 'Eigenen', ',', 'nur', 'die', 'AfD', '!'];Da klatschen nicht die Eigenen, nur die AfD! Meine Güte!;['Evaluation'];[0.9470601677894592];Diether Dehm;männlich;DIE LINKE;Dr. Franziska Brantner;GRUENE;weiblich;BT_19_236.xml;;
['Haben', 'wir', 'schon', '!'];Haben wir doch! Haben wir schon!;['Evaluation'];[0.8682399392127991];Frank Schäffler;männlich;FDP;Cansel Kiziltepe;SPD;weiblich;BT_19_237.xml;;
['Kommen', 'Sie', 'von', 'Ihrem', 'BAföG-Trauma', 'runter', '!'];Kommen Sie von Ihrem BAföG-Trauma runter!;['Evaluation'];[0.7860694527626038];Tankred Schipanski;männlich;CDU/CSU;Kai Gehring;GRUENE;männlich;BT_19_236.xml;;
['Klagen', 'Sie', 'gerade', 'die', 'gescheiterte', 'Zuwanderungspolitik', 'Ihres', 'Koalitionspartners', 'an', ',', 'Herr', 'Kollege', '?'];Klagen Sie gerade die gescheiterte Zuwanderungspolitik Ihres Koalitionspartners an, Herr Kollege?;['Evaluation'];[0.6456600427627563];Andreas Rimkus;männlich;SPD;Christian Dürr;FDP;männlich;BT_19_236.xml;['Question-All'];true
['Unverschämte', 'Behauptung', '!'];Unverschämte Behauptung!;['Evaluation'];[0.9335219860076904];Renate Künast;weiblich;GRUENE;Dr. Rainer Kraft;AfD;männlich;BT_19_235.xml;;
['Ja', '!'];Ja!;['Evaluation'];[0.5525243878364563];Heike Baehrens;weiblich;SPD;Helin Evrim Sommer;DIE LINKE;weiblich;BT_19_237.xml;;
['Der', 'war', 'auch', 'kein', 'Bayer', ',', 'sondern', 'ein', 'Franke', '!'];Der war auch kein Bayer, sondern ein Franke!;['Evaluation'];[0.9375866055488586];Bernhard Loos;männlich;CDU/CSU;Stefan Müller;CDU/CSU;männlich;BT_19_236.xml;;
['Die', 'ungarischen', 'Fans', 'sollen', 'Faschisten', 'sein', '?'];Die ungarischen Fans sollen Faschisten sein? Hilfe!;['Evaluation'];[0.8734599351882935];Helge Lindh;männlich;SPD;Andreas Bleck;AfD;männlich;BT_19_236.xml;['Question-All'];true
['Da', 'arbeiten', 'wir', 'dran', '!'];Noch nicht! Da arbeiten wir dran!;['Evaluation'];[0.8740425705909729];Fabio De Masi;;DIE LINKE;Fritz Güntzler;CDU/CSU;männlich;BT_19_237.xml;;
['Genau', '!'];Genau!;['Evaluation'];[0.9162784218788147];Dietmar Bartsch;männlich;DIE LINKE;Dr. Gesine Lötzsch;DIE LINKE;weiblich;BT_19_236.xml;;
['Sie', 'lieben', 'Deutschland', 'gar', 'nicht', '!'];Sie lieben Deutschland gar nicht!;['Evaluation'];[0.9564183950424194];Nicole Höchst;weiblich;AfD;Dr. Karamba Diaby;SPD;männlich;BT_19_235.xml;;
['Ach', 'was', '!'];Ach was!;['Evaluation'];[0.9142105579376221];Christoph Matschie;männlich;SPD;Franziska Gminder;AfD;weiblich;BT_19_235.xml;;
['Na', ',', 'du', 'zum', 'Glück', 'nicht', '!'];Na, du zum Glück nicht!;['Evaluation'];[0.9270505905151367];Heribert Hirte;männlich;CDU/CSU;Gabriele Katzmarek;SPD;weiblich;BT_19_236.xml;;
['Das', 'ist', 'so', 'Mottenkiste', '!'];Der Markt gibt uns Brot, der gibt uns zu essen und zu trinken! Das ist so Mottenkiste!;['Evaluation'];[0.9779541492462158];Annalena Baerbock;weiblich;GRUENE;Dr. Marco Buschmann;FDP;männlich;BT_19_239.xml;;
['Fahrrad', '!'];Fahrrad!;['Evaluation'];[0.8939545750617981];Christoph Ploß;männlich;CDU/CSU;Mechthild Rawert;SPD;weiblich;BT_19_236.xml;;
['Wenn', 'du', 'den', 'letzten', 'Satz', 'weggelassen', 'hättest', ',', 'hätte', 'ich', 'auch', 'geklatscht', '!'];Wenn du den letzten Satz weggelassen hättest, hätte ich auch geklatscht!;['Evaluation'];[0.7750326991081238];Bernhard Daldrup;männlich;SPD;Fritz Güntzler;CDU/CSU;männlich;BT_19_237.xml;;
['Panama', '!'];Panama!;['Evaluation'];[0.8335277438163757];Tino Chrupalla;männlich;AfD;Unknown;DIE LINKE;;BT_19_239.xml;;
['Da', 'müssen', 'Sie', 'was', 'ganz', 'anderes', 'tun', '!'];Da müssen Sie was ganz anderes tun!;['Evaluation'];[0.9478877186775208];Anton Hofreiter;männlich;GRUENE;Peter Boehringer;AfD;männlich;BT_19_238.xml;;
['Guter', 'Mann', '!'];Guter Mann!;['Evaluation'];[0.938366711139679];Paul Ziemiak;männlich;CDU/CSU;Carsten Schneider;SPD;männlich;BT_19_239.xml;;
['Woher', 'wissen', 'Sie', 'denn', ',', 'dass', 'wir', 'das', 'nicht', 'machen', '?'];Woher wissen Sie denn, dass wir das nicht machen?;['Evaluation'];[0.8720970153808594];Wolfgang Stefinger;männlich;CDU/CSU;Dr. Petra Sitte;DIE LINKE;weiblich;BT_19_236.xml;['Question-All'];true
['Oh', ',', 'ist', 'das', 'ekelhaft', '!'];Oh, ist das ekelhaft!;['Evaluation'];[0.9294111132621765];Alexander Gauland;männlich;AfD;Mechthild Rawert;SPD;weiblich;BT_19_238.xml;;
['Meine', 'Güte', '!'];Sagen wir auch nicht! Mann, Christoph, hör doch auf, so einen Mist zu erzählen! Du weißt ganz genau, dass das nicht stimmt! Meine Güte!;['Evaluation'];[0.7380216121673584];Christoph Ploß;männlich;CDU/CSU;Dr. Franziska Brantner;GRUENE;weiblich;BT_19_236.xml;;
['Wer', 'schreibt', 'denn', 'so', 'was', 'auf', '?'];Wer schreibt denn so was auf?;['Evaluation'];[0.8682112693786621];Alexander Dobrindt;männlich;CDU/CSU;Dr. Petra Sitte;DIE LINKE;weiblich;BT_19_239.xml;['Question-All'];true
['Man', 'kann', 'den', 'Klimawandel', 'nicht', 'bekämpfen', '!'];Man kann den Klimawandel nicht bekämpfen!;['Evaluation'];[0.9492819309234619];Andreas Jung;männlich;CDU/CSU;Karsten Hilse;AfD;männlich;BT_19_239.xml;;
['Tempolimit', '!'];Tempolimit!;['Evaluation'];[0.5541411638259888];Lukas Köhler;männlich;FDP;Klaus Mindrup;SPD;männlich;BT_19_236.xml;;
['Ihr', 'wolltet', 'ja', 'nicht', 'regieren', '!'];Ihr wolltet ja nicht regieren!;['Evaluation'];[0.9240850210189819];Marcel Klinge;männlich;FDP;Johann Saathoff;SPD;männlich;BT_19_236.xml;;
['Ganz', 'im', 'Gegenteil', '!'];Ganz im Gegenteil!;['Evaluation'];[0.9689739346504211];Paul Ziemiak;männlich;CDU/CSU;Yasmin Fahimi;SPD;weiblich;BT_19_239.xml;;
['„', 'Window', '“', 'würde', 'ich', 'sagen', '!'];„Window“ würde ich sagen!;['Evaluation'];[0.9606797099113464];Annalena Baerbock;weiblich;GRUENE;Michael Grosse-Brömer;CDU/CSU;männlich;BT_19_236.xml;;
['Sie', 'haben', 'bisher', 'keinen', 'einzigen', 'Lösungsvorschlag', 'gebracht', '!'];Sie haben bisher keinen einzigen Lösungsvorschlag gebracht!;['Evaluation'];[0.9510260224342346];Udo Theodor Hemmelgarn;männlich;AfD;Niema Movassat;DIE LINKE;männlich;BT_19_235.xml;;
['Oah', '!'];Oah!;['Evaluation'];[0.837234616279602];Fritz Güntzler;männlich;CDU/CSU;Unknown;SPD;;BT_19_237.xml;;
['Richtig', '!'];Richtig!;['Evaluation'];[0.9559915661811829];Nicole Gohlke;weiblich;DIE LINKE;Oliver Kaczmarek;SPD;männlich;BT_19_236.xml;;
['Sie'];Vergleichen Sie Deutschland mal mit anderen Ländern!;['Evaluation'];[0.79011070728302];Dietmar Bartsch;männlich;DIE LINKE;Michael Grosse-Brömer;CDU/CSU;männlich;BT_19_239.xml;;
['!'];Bei Ihren Wählern in den Schickeriavierteln! Die sind bereit!;['Evaluation'];[0.8340265154838562];Lisa Badum;weiblich;GRUENE;Karsten Hilse;AfD;männlich;BT_19_236.xml;;
['Das', 'ist', 'falsch', '!'];Das ist falsch!;['Evaluation'];[0.8638914227485657];Sebastian Brehm;männlich;CDU/CSU;Volker Münz;AfD;männlich;BT_19_237.xml;;
['Ein', 'Werturteil', '!'];Oh! Ein Werturteil!;['Evaluation'];[0.9478958249092102];Jan Korte;männlich;DIE LINKE;Manfred Grund;CDU/CSU;männlich;BT_19_238.xml;;
['Ja', '!'];Ja!;['Evaluation'];[0.5525243878364563];Leif-Erik Holm;männlich;AfD;Katharina Dröge;GRUENE;weiblich;BT_19_236.xml;;
['Sind', 'Sie', 'auch', 'dabei', ',', 'wenn', 'Sie', 'von', 'einer', '„', 'Coronadiktatur', '“', 'reden', '?'];Sind Sie auch dabei, wenn Sie von einer „Coronadiktatur“ reden?;['Evaluation'];[0.8026789426803589];Tino Chrupalla;männlich;AfD;Alexander Dobrindt;CDU/CSU;männlich;BT_19_238.xml;['Question-All'];true
['Einfach', 'reingefallen', '!'];Einfach reingefallen!;['Evaluation'];[0.9506080150604248];Jürgen Hardt;männlich;CDU/CSU;Dr. Bernd Baumann;AfD;männlich;BT_19_238.xml;;
['Sie', 'haben', 'gesagt', ':', '„', 'Dann', 'stimmen', 'Sie', 'jetzt', 'zu', '!', '“', ',', 'aber', 'Sie', 'haben', 'doch', 'gar', 'keinen', 'Antrag', 'gestellt', '!'];Sie haben doch gar keinen Antrag gestellt! Sie haben gesagt: „Dann stimmen Sie jetzt zu!“, aber Sie haben doch gar keinen Antrag gestellt!;['Evaluation'];[0.7948970794677734];Annalena Baerbock;weiblich;GRUENE;Carsten Schneider;SPD;männlich;BT_19_238.xml;;
['Da', 'fallen', 'einem', 'noch', 'nicht', 'mal', 'mehr', 'Zwischenrufe', 'ein', '!'];Da fallen einem noch nicht mal mehr Zwischenrufe ein!;['Evaluation'];[0.8703796863555908];Jürgen Braun;männlich;AfD;Alexander Graf Lambsdorff;FDP;männlich;BT_19_237.xml;;
['Es', 'ging', 'um', 'Aktensicherung', '!'];Es geht hier um Absicherung! Das wissen Sie auch! Das haben wir schon einmal zusammen gemacht! Es ging um Aktensicherung!;['Evaluation'];[0.8504210114479065];Jürgen Hardt;männlich;CDU/CSU;Britta Haßelmann;GRUENE;weiblich;BT_19_238.xml;;
['So', 'ist', 'es', '!'];So ist es! Genau so ist es!;['Evaluation'];[0.9474756121635437];Ulle Schauws;weiblich;GRUENE;Dr. Franziska Brantner;GRUENE;weiblich;BT_19_236.xml;;
['Auf', 'einmal', 'fordert', 'ihr', '70', 'Prozent', '!'];65 Prozent habt ihr gefordert! Das haben wir jetzt beschlossen! Auf einmal fordert ihr 70 Prozent! Das ist doch alles unglaubwürdig!;['Evaluation'];[0.8329407572746277];Lisa Badum;weiblich;GRUENE;Dr. Anja Weisgerber;CDU/CSU;weiblich;BT_19_236.xml;;
['Sie', 'haben', 'das', 'festgestellt', '!'];Sie haben das festgestellt!;['Evaluation'];[0.8266609311103821];Michael Frieser;männlich;CDU/CSU;Oliver Luksic;FDP;männlich;BT_19_235.xml;;
['Nicht', 'ablenken', '!'];Nicht ablenken!;['Evaluation'];[0.8833378553390503];Johann David Wadephul;männlich;CDU/CSU;Dr. Marie-Agnes Strack-Zimmermann;FDP;weiblich;BT_19_238.xml;;
['Die', 'Sektsteuer', 'wollen', 'wir', 'abschaffen', '!'];Die Sektsteuer wollen wir abschaffen!;['Evaluation'];[0.5712512135505676];Katja Hessel;weiblich;FDP;Matthias W. Birkwald;DIE LINKE;männlich;BT_19_237.xml;;
['Ah', '!'];Ah!;['Evaluation'];[0.7508695721626282];Kai Gehring;männlich;GRUENE;Unknown;CDU/CSU;;BT_19_236.xml;;
['Ist', 'der', 'schon', 'Bundeskanzler', '?'];Ist der schon Bundeskanzler?;['Evaluation'];[0.789258599281311];Sonja Amalie Steffen;weiblich;SPD;Fabio De Masi;DIE LINKE;männlich;BT_19_237.xml;['Question-All'];true
['Da', 'gibt', 'es', 'aber', 'auch', 'FDP-Mitglieder', '!'];Da gibt es aber auch FDP-Mitglieder!;['Evaluation'];[0.8866559863090515];Matthias Heider;männlich;CDU/CSU;Michael Grosse-Brömer;CDU/CSU;männlich;BT_19_236.xml;;
['Ja', '!'];Ja!;['Evaluation'];[0.5525243878364563];Wolfgang Stefinger;männlich;CDU/CSU;Dr. Götz Frömming;AfD;männlich;BT_19_236.xml;;
