utterance_token_list;Sentences;predicted_labels;confidences;next_verbal_interjection;next_nonverbal_interjection;Speaker;Gender;Party;Filename;true_label;utterance
['2019.'];2019.;[];[];False;False;Alexander Throm;männlich;CDU/CSU;BT_19_236.xml;[];Interrupted
['angefangen', 'bei', 'einer', 'Düngeverordnung', ',', 'die', 'zustande', 'gekommen', 'ist', 'auf', 'der', 'Grundlage', 'von', 'Messergebnissen', ',', 'die', 'überhaupt', 'nicht', 'miteinander', 'vergleichbar', 'waren', ',', 'über', 'eine', 'Bauernmilliarde', ',', 'die', 'kein', 'Landwirt', 'da', 'draußen', 'jemals', 'gewünscht', ',', 'gefordert', 'oder', 'gewollt', 'hat', ',', 'bis', 'hin', 'zu', 'einem', 'Insektenschutzpaket', ',', 'das', 'überhaupt', 'keine', 'Regelung', 'dazu', 'enthält', ',', 'welche', 'Insektenspezies', 'eigentlich', 'genau', 'geschützt', 'werden', 'soll', '–', 'geht', 'es', 'darum', ',', 'die', 'Insektenbiomasse', 'zu', 'schützen', ',', 'oder', 'darum', ',', 'die', 'Insektenbiodiversität', 'zu', 'schützen', '?'];angefangen bei einer Düngeverordnung, die zustande gekommen ist auf der Grundlage von Messergebnissen, die überhaupt nicht miteinander vergleichbar waren, über eine Bauernmilliarde, die kein Landwirt da draußen jemals gewünscht, gefordert oder gewollt hat, bis hin zu einem Insektenschutzpaket, das überhaupt keine Regelung dazu enthält, welche Insektenspezies eigentlich genau geschützt werden soll – geht es darum, die Insektenbiomasse zu schützen, oder darum, die Insektenbiodiversität zu schützen?;[];[];False;False;Gero Clemens Hocker;männlich;FDP;BT_19_236.xml;['Accusation', 'Question-All'];False
['Das', 'Modell', 'der', 'dualen', 'Ausbildung', 'hat', 'sich', 'bewährt', 'und', 'darf', 'nicht', 'durch', 'bildungspolitische', 'Vorgaben', 'eingeschränkt', 'werden', '.'];Das Modell der dualen Ausbildung hat sich bewährt und darf nicht durch bildungspolitische Vorgaben eingeschränkt werden.;[];[];False;False;Axel Knoerig;männlich;CDU/CSU;BT_19_235.xml;['Evaluation', 'Demand'];False
['Deshalb', 'greift', 'die', 'vorgeschlagene', 'Änderung', 'aus', 'Sicht', 'der', 'AfD-Fraktion', 'zu', 'kurz', ',', 'und', 'wir', 'werden', 'uns', 'enthalten', '.'];Deshalb greift die vorgeschlagene Änderung aus Sicht der AfD-Fraktion zu kurz, und wir werden uns enthalten.;[];[];False;False;Wolfgang Wiehle;männlich;AfD;BT_19_236.xml;['Rejection'];False
['Geboren', 'wurden', 'sie', 'in', 'einem', 'Lebensborn-Heim', ',', 'auch', 'das', 'übrigens', 'eine', 'Erinnerungslücke', 'in', 'diesem', 'Hause', '.'];Geboren wurden sie in einem Lebensborn-Heim, auch das übrigens eine Erinnerungslücke in diesem Hause.;[];[];True;False;Simone Barrientos;weiblich;DIE LINKE;BT_19_237.xml;['Report', 'Accusation'];False
['Dort', 'wurde', 'der', 'offenbar', 'von', 'vielen', 'unterschätzte', 'Umfang', 'dieses', 'ganzen', 'Projekts', 'richtig', 'deutlich', ':', 'Bundes-', 'und', '16', 'Landessysteme', 'im', 'Vorgang-Sachbearbeitungsbereich', 'gilt', 'es', 'anzupassen', '.'];Dort wurde der offenbar von vielen unterschätzte Umfang dieses ganzen Projekts richtig deutlich: Bundes- und 16 Landessysteme im Vorgang-Sachbearbeitungsbereich gilt es anzupassen.;[];[];False;False;Susanne Mittag;weiblich;SPD;BT_19_237.xml;['Report', 'Demand'];False
['Deutschland', 'steht', 'zu', 'seinen', 'Verpflichtungen', ',', 'und', 'Deutschland', 'steht', 'zu', 'der', 'Verpflichtung', ',', 'die', 'afghanischen', 'Ortskräfte', ',', 'die', 'in', 'den', 'vergangenen', 'Jahren', 'für', 'unser', 'Land', 'gearbeitet', 'haben', '–', 'für', 'die', 'Bundeswehr', ',', 'für', 'die', 'Bundespolizei', ',', 'für', 'die', 'Durchführungsorganisationen', 'der', 'Entwicklungszusammenarbeit', '–', ',', 'die', 'Menschen', ',', 'die', 'am', 'Wiederaufbau', ',', 'an', 'der', 'Stabilisierung', 'ihres', 'Landes', 'mitgearbeitet', 'haben', 'und', 'aus', 'deren', 'Arbeit', 'sich', 'eine', 'Gefährdung', 'ergibt', ',', 'zu', 'schützen', '.'];Deutschland steht zu seinen Verpflichtungen, und Deutschland steht zu der Verpflichtung, die afghanischen Ortskräfte, die in den vergangenen Jahren für unser Land gearbeitet haben – für die Bundeswehr, für die Bundespolizei, für die Durchführungsorganisationen der Entwicklungszusammenarbeit –, die Menschen, die am Wiederaufbau, an der Stabilisierung ihres Landes mitgearbeitet haben und aus deren Arbeit sich eine Gefährdung ergibt, zu schützen.;[];[];False;False;Thorsten Frei;männlich;CDU/CSU;BT_19_235.xml;['Self-Representation'];False
['Wenn', 'wir', 'gesagt', 'haben', ':', '„', 'Wir', 'machen', 'es', '“', ',', 'dann', 'haben', 'wir', 'es', 'gemacht', ',', 'und', 'wenn', 'wir', 'gesagt', 'haben', ':'];Wenn wir gesagt haben: „Wir machen es“, dann haben wir es gemacht, und wenn wir gesagt haben:;[];[];False;False;Ulrich Lange;männlich;CDU/CSU;BT_19_235.xml;['Self-Representation'];Interrupted
['Den', 'Hilfeverweigerern', 'von', 'links', 'und', 'von', 'rechts', 'sage', 'ich', 'warnend', ',', 'mit', 'aller', 'Deutlichkeit', 'und', 'mit', 'großem', 'Nachdruck', ':'];Den Hilfeverweigerern von links und von rechts sage ich warnend, mit aller Deutlichkeit und mit großem Nachdruck:;[];[];False;False;Daniela De Ridder;;SPD;BT_19_236.xml;['Accusation'];Interrupted
"['Doch', 'anstatt', 'einmal', 'in', 'Ruhe', 'zu', 'diskutieren', '–', 'die', 'Fachbeamten', ',', 'die', 'im', 'Thema', 'waren', ',', 'waren', 'nämlich', 'gar', 'nicht', 'da', ';']";"Doch anstatt einmal in Ruhe zu diskutieren – die Fachbeamten, die im Thema waren, waren nämlich gar nicht da;";[];[];False;False;Oliver Luksic;männlich;FDP;BT_19_235.xml;['Accusation'];Interrupted
