utterance_token_list;Sentences;predicted_labels;confidences;next_verbal_interjection;next_nonverbal_interjection;Speaker;Gender;Party;Filename;true_label;utterance
"['Das', 'machen', 'Sie', 'aber', 'nicht', ',', 'und', 'deswegen', 'wenden', 'sich', 'immer', 'mehr', 'Wähler', 'von', 'Ihnen', 'ab', '–', 'zu', 'Recht', ';']";"Das machen Sie aber nicht, und deswegen wenden sich immer mehr Wähler von Ihnen ab – zu Recht;";['Evaluation'];[0.9255906939506531];False;False;Mario Mieruch;männlich;LKR;BT_19_239.xml;['Accusation', 'Evaluation'];False
['Deshalb', 'würde', 'ein', 'Sondergipfel', 'zu', 'diesem', 'Zeitpunkt', 'keine', 'neuen', 'Erkenntnisse', 'und', 'keine', 'weiteren', 'politischen', 'Fortschritte', 'bringen', '.'];Deshalb würde ein Sondergipfel zu diesem Zeitpunkt keine neuen Erkenntnisse und keine weiteren politischen Fortschritte bringen.;['Evaluation'];[0.9712060689926147];False;False;Nils Schmid;männlich;SPD;BT_19_239.xml;['Evaluation'];False
['Es', 'ist', 'gut', 'und', 'es', 'ist', 'uns', 'eine', 'Ehre', ',', 'Sie', 'heute', 'hier', 'zu', 'haben', ',', 'auch', 'wenn', 'es', 'sicherlich', 'erneut', 'ein', 'schwerer', 'Gang', 'für', 'Sie', 'gewesen', 'sein', 'muss', '.'];Es ist gut und es ist uns eine Ehre, Sie heute hier zu haben, auch wenn es sicherlich erneut ein schwerer Gang für Sie gewesen sein muss.;['Evaluation'];[0.9304444193840027];False;False;Alexander Throm;männlich;CDU/CSU;BT_19_236.xml;['Expressive'];False
['Da', 'ist', 'eine', 'Region', 'gewissermaßen', 'umzingelt', 'von', 'EU-Staaten', ',', 'und', 'daher', 'gilt', 'es', ',', 'langfristig', '–', 'auch', 'um', 'des', 'Friedens', 'willen', '–', 'diese', 'Region', 'an', 'uns', 'zu', 'binden', '.'];Da ist eine Region gewissermaßen umzingelt von EU-Staaten, und daher gilt es, langfristig – auch um des Friedens willen – diese Region an uns zu binden.;['Evaluation'];[0.8300830721855164];False;False;Marie-Agnes Strack-Zimmermann;weiblich;FDP;BT_19_236.xml;['Report', 'Request'];False
['Beim', 'Infektionsschutz', 'geht', 'es', 'nicht', 'um', 'Wählerstimmen', ',', 'sondern', 'um', 'Menschenleben', ',', 'und', 'deshalb', 'hat', 'die', 'Bevölkerung', 'auch', 'vier', 'Wochen', 'vor', 'einer', 'wichtigen', 'Wahl', 'das', 'Recht', 'auf', 'ein', 'funktionierendes', 'Krisenmanagement', ',', 'das', 'verantwortlich', 'handelt', 'und', 'die', 'Gesundheit', 'der', 'Menschen', 'schützt', '.'];Beim Infektionsschutz geht es nicht um Wählerstimmen, sondern um Menschenleben, und deshalb hat die Bevölkerung auch vier Wochen vor einer wichtigen Wahl das Recht auf ein funktionierendes Krisenmanagement, das verantwortlich handelt und die Gesundheit der Menschen schützt.;['Evaluation'];[0.9717352986335754];False;True;Janosch Dahmen;männlich;GRUENE;BT_19_238.xml;['Evaluation'];False
['Der', 'Wandel', 'der', 'Innenstädte', 'ist', 'eine', 'Realität', ',', 'und', 'es', 'liegt', 'auch', 'an', 'uns', ',', 'daraus', 'eine', 'Erfolgsgeschichte', 'zu', 'machen', '.'];Der Wandel der Innenstädte ist eine Realität, und es liegt auch an uns, daraus eine Erfolgsgeschichte zu machen.;['Evaluation'];[0.9290415644645691];False;False;Kai Wegner;männlich;CDU/CSU;BT_19_235.xml;['Evaluation'];False
['Denn', 'Sie', 'sprechen', 'eher', 'aus', 'dem', 'Blickwinkel', 'des', 'Firmenbesitzers', 'oder', 'des', 'Handwerksmeisters', ',', 'der', 'auch', 'Eigentümer', 'der', 'Firma', 'ist', ',', 'und', 'ich', 'diskutiere', 'eher', 'als', 'Gewerkschafter', 'aus', 'der', 'Situation', 'des', 'Arbeitnehmers', 'im', 'Betrieb', 'heraus', '.'];Denn Sie sprechen eher aus dem Blickwinkel des Firmenbesitzers oder des Handwerksmeisters, der auch Eigentümer der Firma ist, und ich diskutiere eher als Gewerkschafter aus der Situation des Arbeitnehmers im Betrieb heraus.;['Evaluation'];[0.9687318205833435];False;False;Alexander Ulrich;männlich;DIE LINKE;BT_19_236.xml;['Evaluation'];False
['Der', 'Satzungszweck', 'wird', 'verwirklicht', 'insbesondere', 'durch', ':', '…'];Der Satzungszweck wird verwirklicht insbesondere durch: …;['Evaluation'];[0.7364991903305054];False;False;Manuela Rottmann;weiblich;GRUENE;BT_19_237.xml;['Report'];Interrupted
['von', 'hanebüchenen', 'Anschuldigungen', 'und', 'Diskreditierungsversuchen', 'unserer', 'parlamentarischen', 'Arbeit', '–', 'wie', 'jetzt', 'gerade', 'auch', 'wieder', '–', ','];von hanebüchenen Anschuldigungen und Diskreditierungsversuchen unserer parlamentarischen Arbeit – wie jetzt gerade auch wieder –,;['Evaluation'];[0.9223114252090454];True;False;Nicole Höchst;weiblich;AfD;BT_19_235.xml;['Accusation'];Interrupted
['Die', 'Bundesregierung', 'möchte', 'heute', 'das', 'Mandat', 'für', 'den', 'Bundeswehreinsatz', 'im', 'Libanon', 'im', 'Rahmen', 'der', 'UN-Mission'];Die Bundesregierung möchte heute das Mandat für den Bundeswehreinsatz im Libanon im Rahmen der UN-Mission;['Evaluation'];[0.625516951084137];False;False;Kathrin Vogler;weiblich;DIE LINKE;BT_19_236.xml;['Report'];Interrupted
['und', 'im', 'Übrigen', 'auch', 'viele', 'befristete', 'Stellen', 'in', 'den', 'Abgeordnetenbüros', 'und', 'in', 'den', 'Fraktionen', '.'];und im Übrigen auch viele befristete Stellen in den Abgeordnetenbüros und in den Fraktionen.;['Evaluation'];[0.8842499852180481];True;False;Wolfgang Stefinger;männlich;CDU/CSU;BT_19_236.xml;['Report'];Interrupted
['und', 'unmissverständlich', 'gegen', 'jede', 'Form', 'des', 'Judenhasses', 'vorgeht', ','];und unmissverständlich gegen jede Form des Judenhasses vorgeht,;['Evaluation'];[0.8541420698165894];True;False;Jürgen Braun;männlich;AfD;BT_19_237.xml;['Self-representation'];Interrupted
['Ich', 'bin', 'davon', 'überzeugt', ':', 'Die', 'Kombination', 'aus', 'diesen', 'Maßnahmen', '–'];Ich bin davon überzeugt: Die Kombination aus diesen Maßnahmen –;['Evaluation'];[0.9332261085510254];False;False;Thorsten Frei;männlich;CDU/CSU;BT_19_238.xml;['Evaluation'];Interrupted
['Frauen', 'und', 'Mädchen', 'sind', 'bereits', 'mit', 'neun', 'Jahren', '–', 'ich', 'wiederhole', ':', 'mit', 'neun', 'Jahren', '!'];Frauen und Mädchen sind bereits mit neun Jahren – ich wiederhole: mit neun Jahren!;['Evaluation'];[0.705701470375061];False;False;Michael Brand;männlich;CDU/CSU;BT_19_237.xml;['Report'];Interrupted
['Die', 'notwendige', 'Sicherheit', 'kann', 'man', 'einfacher', ',', 'effizienter', 'erreichen', 'als', 'so', ',', 'wie', 'es', 'jetzt', 'hier', 'geplant', 'ist', '.'];Die notwendige Sicherheit kann man einfacher, effizienter erreichen als so, wie es jetzt hier geplant ist.;['Evaluation'];[0.9509698748588562];False;False;Peter Heidt;männlich;FDP;BT_19_235.xml;['Evaluation'];True
['Solange', 'Sie', 'eine', 'Politik', 'machen', 'für', 'wenige', 'und', 'gegen', 'die', 'Mehrheit', 'der', 'Menschen', ',', 'wird', 'die', 'Schere', 'zwischen', 'Arm', 'und', 'Reich', 'immer', 'weiter', 'auseinandergehen', '.'];Solange Sie eine Politik machen für wenige und gegen die Mehrheit der Menschen, wird die Schere zwischen Arm und Reich immer weiter auseinandergehen.;['Evaluation'];[0.9539380669593811];False;False;Sabine Zimmermann;weiblich;DIE LINKE;BT_19_237.xml;['Accusation', 'Bad-Outcome'];True
['Spielen', 'Sie', 'sich', 'nicht', 'auf', 'als', 'die', 'Partei', 'des', 'kleinen', 'Mannes', '.'];Spielen Sie sich nicht auf als die Partei des kleinen Mannes.;['Evaluation'];[0.6165145039558411];False;False;Yasmin Fahimi;weiblich;SPD;BT_19_239.xml;['Accusation'];True
